pwsId,longitude,latitude,countryCode,country,locId,address,city
IACORU6,-8.396,43.371,ES,Spain,ESXX1577:1:ES,"A Coruña, A Coruña, Spain",A Coruña
IAACHE9,6.084,50.776,DE,Germany,DEXX0154:1:DE,"Aachen, North Rhine-Westphalia, Germany",Aachen
IAARHUS56,10.213,56.15,DK,Denmark,DKXX9248:1:DK,"Aarhus, Central Denmark Region, Denmark",Aarhus
KSCABBEV25,-82.379,34.178,US,United States,USSC0001:1:US,"Abbeville, South Carolina, United States",Abbeville
KLAABBEV50,-92.134,29.975,US,United States,USLA0001:1:US,"Abbeville, Louisiana, United States",Abbeville
KALABBEV3,-85.25,31.572,US,United States,USAL0001:1:US,"Abbeville, Alabama, United States",Abbeville
KMSWATER15,-89.503,34.503,US,United States,USMS0001:1:US,"Abbeville, Mississippi, United States",Abbeville
ICAMBR247,1.834,50.106,FR,France,FRSO0019:1:FR,"Abbeville, Somme, France",Abbeville
KGAABBEV10,-83.307,31.992,US,United States,USGA0001:1:US,"Abbeville, Georgia, United States",Abbeville
IBAAMOAS2,-2.786,6.944,GH,Ghana,GHXX2203:1:GH,"Abidjan, Ahafo, Ghana",Abidjan
KTXABILE174,-99.748,32.446,US,United States,USTX0003:1:US,"Abilene, Texas, United States",Abilene
KKSABILE27,-97.214,38.917,US,United States,USKS0002:1:US,"Abilene, Kansas, United States",Abilene
KTXABILE313,-99.711,32.468,US,United States,USTX0003:1:US,"Abilene Heights, Abilene, Texas, United States",Abilene
KTXABILE1,-99.77,32.545,US,United States,USTX1619:1:US,"North Abilene, Texas, United States",Abilene
IABUDHAB134,54.377,24.454,AE,United Arab Emirates,AEXX0478:1:AE,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Abu Dhabi
IABUJA10,7.489,9.064,NG,Nigeria,NGFC0002:1:NG,"Abuja, Federal Capital Territory, Nigeria",Abuja
INWADELA2,30.901,2.355,UG,Uganda,UGXX3892:1:UG,"Abuja, Zombo, Uganda",Abuja
IDORI3,0.945,14.615,NE,Niger,NEXX6401:1:NE,"Abuja, Tillabéri, Niger",Abuja
IACAPULC7,-99.894,16.868,MX,Mexico,MXGR0007:1:MX,"Acapulco, Guerrero, Mexico",Acapulco
IAAACHIM2,-0.203,5.661,GH,Ghana,GHXX0539:1:GH,"Accra, Greater Accra, Ghana",Accra
IAAAVENA2,-0.211,5.585,GH,Ghana,GHXX0260:1:GH,"Accra New Town, Accra, Greater Accra, Ghana",Accra
KMDADAMS19,-77.475,39.311,US,United States,USMD0007:1:US,"Adamstown, Maryland, United States",Adamstown
KPAADAMS2,-76.056,40.241,US,United States,USPA0009:1:US,"Adamstown, Pennsylvania, United States",Adamstown
IADAMS5,-6.719,52.393,IE,Ireland,IEXX0349:1:IE,"Adamstown, Wexford, Ireland",Adamstown
IADELA899,138.6,-34.927,AU,Australia,AUXX0001:1:AU,"Adelaide, South Australia, Australia",Adelaide
IADELA419,138.531,-34.946,AU,Australia,AUSA0298:1:AU,"Adelaide Airport, South Australia, Australia",Adelaide
INXUBANU2,26.296,-32.708,ZA,South Africa,ZAXX0539:1:ZA,"Adelaide, Eastern Cape, South Africa",Adelaide
IADELB2,7.559,46.493,CH,Switzerland,CHXX0066:1:CH,"Adelboden, Bern, Switzerland",Adelboden
IAGADI6,-9.583,30.421,MA,Morocco,MASM1436:1:MA,"Agadir, Souss-Massa, Morocco",Agadir
IAGDE36,3.477,43.313,FR,France,FRXX4397:1:FR,"Agde, Hérault, France",Agde
IAGEN24,0.618,44.202,FR,France,FRXX0135:1:FR,"Agen, Lot-et-Garonne, France",Agen
IAGIOS11,25.71,35.197,GR,Greece,GRXX6227:1:GR,"Agios Nikolaos, Crete, Greece",Agios Nikolaos
IAGIOSNI5,23.74,40.225,GR,Greece,GRXX4720:1:GR,"Agios Nikolaos, Central Macedonia, Greece",Agios Nikolaos
INEOCH5,22.295,36.817,GR,Greece,GRXX8057:1:GR,"Agios Nikolaos, Peloponnese, Greece",Agios Nikolaos
IVATHY2,23.645,38.419,GR,Greece,GRXX0166:1:GR,"Agios Nikolaos, Central Greece, Greece",Agios Nikolaos
IDRAGO5,20.634,39.544,GR,Greece,GRXX5816:1:GR,"Agios Nikolaos, Epirus, Greece",Agios Nikolaos
