key,class,expire_time_gmt,obs_id,obs_name,valid_time_gmt,day_ind,temp,wx_icon,icon_extd,wx_phrase,pressure_tend,pressure_desc,dewPt,heat_index,rh,pressure,vis,wc,wdir,wdir_cardinal,gust,wspd,max_temp,min_temp,precip_total,precip_hrly,snow_hrly,uv_desc,feels_like,uv_index,qualifier,qualifier_svrty,blunt_phrase,terse_phrase,clds,water_temp,primary_wave_period,primary_wave_height,primary_swell_period,primary_swell_height,primary_swell_direction,secondary_swell_period,secondary_swell_height,secondary_swell_direction
KDCA,observation,1483257120,KDCA,Washington/Natl,1483249920,N,46,27,2700,Mostly Cloudy,1,Rising Rapidly,22,46,39,29.97,10,41,220,SW,,9,,,,0,,Low,41,0,,,,,BKN,,,,,,,,,
KDCA,observation,1483260720,KDCA,Washington/Natl,1483253520,N,44,29,2900,Partly Cloudy,,,22,44,42,29.98,10,39,210,SSW,,9,,,,0,,Low,39,0,,,,,SCT,,,,,,,,,
KDCA,observation,1483264320,KDCA,Washington/Natl,1483257120,N,43,29,2900,Partly Cloudy,,,23,43,45,30.0,10,36,210,SSW,,13,,,,0,,Low,36,0,,,,,SCT,,,,,,,,,
KDCA,observation,1483267920,KDCA,Washington/Natl,1483260720,N,41,29,2900,Partly Cloudy,1,Rising Rapidly,23,41,49,30.02,10,38,230,SW,,5,,,,0,,Low,38,0,,,,,SCT,,,,,,,,,
KDCA,observation,1483271520,KDCA,Washington/Natl,1483264320,N,40,29,2900,Partly Cloudy,,,23,40,51,30.04,10,37,210,SSW,,5,,,,0,,Low,37,0,,,,,SCT,,,,,,,,,
KDCA,observation,1483275120,KDCA,Washington/Natl,1483267920,N,40,27,2700,Mostly Cloudy,,,27,40,60,30.08,10,40,50,NE,,3,,,,0,,Low,40,0,,,,,BKN,,,,,,,,,
KDCA,observation,1483278720,KDCA,Washington/Natl,1483271520,N,39,27,2700,Mostly Cloudy,1,Rising Rapidly,27,39,62,30.11,10,39,,CALM,,0,,,,0,,Low,39,0,,,,,BKN,,,,,,,,,
KDCA,observation,1483282320,KDCA,Washington/Natl,1483275120,D,40,28,2800,Mostly Cloudy,,,28,40,63,30.13,10,40,220,SW,,3,,,,0,,Low,40,1,,,,,BKN,,,,,,,,,
KDCA,observation,1483285920,KDCA,Washington/Natl,1483278720,D,44,28,2800,Mostly Cloudy,,,28,44,53,30.16,10,44,,CALM,,0,,,,0,,Low,44,1,,,,,BKN,,,,,,,,,
KDCA,observation,1483289520,KDCA,Washington/Natl,1483282320,D,45,28,2800,Mostly Cloudy,1,Rising Rapidly,28,45,52,30.19,10,45,,CALM,,0,,,,0,,Low,45,1,,,,,BKN,,,,,,,,,
KDCA,observation,1483290360,KDCA,Washington/Natl,1483283160,D,45,28,2800,Mostly Cloudy,,,28,45,52,30.19,10,43,170,S,,5,,,,0,,Low,43,1,,,,,BKN,,,,,,,,,
KDCA,observation,1483293120,KDCA,Washington/Natl,1483285920,D,49,28,2800,Mostly Cloudy,,,29,49,46,30.2,10,49,,CALM,,0,,,,0,,Low,49,1,,,,,BKN,,,,,,,,,
KDCA,observation,1483296720,KDCA,Washington/Natl,1483289520,D,53,28,2800,Mostly Cloudy,,,32,53,45,30.2,10,53,330,NNW,,10,,,,0,,Low,53,2,,,,,BKN,,,,,,,,,
KDCA,observation,1483300320,KDCA,Washington/Natl,1483293120,D,54,28,2800,Mostly Cloudy,0,Steady,32,54,43,30.2,10,54,10,N,,5,,,,0,,Low,54,1,,,,,BKN,,,,,,,,,
KDCA,observation,1483303920,KDCA,Washington/Natl,1483296720,D,55,28,2800,Mostly Cloudy,,,33,55,43,30.21,10,55,10,N,,6,,,,0,,Low,55,1,,,,,BKN,,,,,,,,,
KDCA,observation,1483307520,KDCA,Washington/Natl,1483300320,D,55,28,2800,Mostly Cloudy,,,33,55,43,30.22,10,55,,VAR,,3,,,,0,,Low,55,1,,,,,BKN,,,,,,,,,
KDCA,observation,1483311120,KDCA,Washington/Natl,1483303920,D,53,28,2800,Mostly Cloudy,1,Rising Rapidly,34,53,48,30.25,10,53,50,NE,,3,,,,0,,Low,53,1,,,,,BKN,,,,,,,,,
KDCA,observation,1483314720,KDCA,Washington/Natl,1483307520,D,50,28,2800,Mostly Cloudy,,,33,50,52,30.26,10,50,40,NE,,5,,,,0,,Low,50,0,,,,,BKN,,,,,,,,,
KDCA,observation,1483318320,KDCA,Washington/Natl,1483311120,N,47,27,2700,Mostly Cloudy,,,34,47,61,30.29,10,47,130,SE,,3,,,,0,,Low,47,0,,,,,BKN,,,,,,,,,
KDCA,observation,1483321920,KDCA,Washington/Natl,1483314720,N,46,27,2700,Mostly Cloudy,1,Rising,33,46,61,30.3,10,42,110,ESE,,8,,,,0,,Low,42,0,,,,,BKN,,,,,,,,,
KDCA,observation,1483325520,KDCA,Washington/Natl,1483318320,N,47,26,2600,Cloudy,,,31,47,54,30.33,10,47,,CALM,,0,,,,0,,Low,47,0,,,,,BKN,,,,,,,,,
KDCA,observation,1483329120,KDCA,Washington/Natl,1483321920,N,46,26,2600,Cloudy,,,31,46,56,30.35,10,46,,CALM,,0,,,,0,,Low,46,0,,,,,BKN,,,,,,,,,
KDCA,observation,1483332720,KDCA,Washington/Natl,1483325520,N,43,26,2600,Cloudy,1,Rising,36,43,76,30.35,10,43,,CALM,,0,,,,0,,Low,43,0,,,,,OVC,,,,,,,,,
KDCA,observation,1483336320,KDCA,Washington/Natl,1483329120,N,46,26,2600,Cloudy,,,33,46,61,30.35,10,43,110,ESE,,6,,,,0,,Low,43,0,,,,,BKN,,,,,,,,,
KDCA,observation,1483339920,KDCA,Washington/Natl,1483332720,N,47,26,2600,Cloudy,,,33,47,59,30.35,10,44,130,SE,,6,56,37,,0,,Low,44,0,,,,,OVC,,,,,,,,,
KDCA,observation,1483343520,KDCA,Washington/Natl,1483336320,N,46,26,2600,Cloudy,1,Rising,34,46,63,30.35,10,46,,CALM,,0,,,,0,,Low,46,0,,,,,OVC,,,,,,,,,
KDCA,observation,1483347120,KDCA,Washington/Natl,1483339920,N,44,11,1201,Light Rain,,,35,44,71,30.36,10,44,,CALM,,0,,,,0.01,,Low,44,0,,,,,OVC,,,,,,,,,
KDCA,observation,1483350720,KDCA,Washington/Natl,1483343520,N,42,9,901,Light Drizzle,,,38,42,85,30.38,10,38,60,ENE,,6,,,,0.01,,Low,38,0,,,,,OVC,,,,,,,,,
KDCA,observation,1483352520,KDCA,Washington/Natl,1483345320,N,42,11,1201,Light Rain,,,39,42,89,30.38,7,38,10,N,,6,,,,0.02,,Low,38,0,,,,,OVC,,,,,,,,,
KDCA,observation,1483354320,KDCA,Washington/Natl,1483347120,N,42,9,901,Light Drizzle,0,Steady,39,42,89,30.37,6,38,40,NE,,7,,,,0.03,,Low,38,0,,,,,OVC,,,,,,,,,
KDCA,observation,1483357080,KDCA,Washington/Natl,1483349880,N,41,9,901,Light Drizzle,,,40,41,96,30.37,4,36,30,NNE,,8,,,,0.02,,Low,36,0,,,,,OVC,,,,,,,,,
KDCA,observation,1483357500,KDCA,Washington/Natl,1483350300,N,41,9,901,Light Drizzle,,,40,41,96,30.37,4,36,30,NNE,,7,,,,0.02,,Low,36,0,,,,,OVC,,,,,,,,,
KDCA,observation,1483357740,KDCA,Washington/Natl,1483350540,N,41,11,1201,Light Rain,,,39,41,93,30.37,4,36,20,NNE,,7,,,,0.02,,Low,36,0,,,,,OVC,,,,,,,,,
KDCA,observation,1483357920,KDCA,Washington/Natl,1483350720,N,41,11,1201,Light Rain,,,40,41,96,30.37,4,36,30,NNE,,7,,,,0.02,,Low,36,0,,,,,OVC,,,,,,,,,
KDCA,observation,1483358820,KDCA,Washington/Natl,1483351620,N,41,11,1201,Light Rain,,,40,41,96,30.36,4,36,40,NE,,8,,,,0.0,,Low,36,0,,,,,OVC,,,,,,,,,
KDCA,observation,1483358940,KDCA,Washington/Natl,1483351740,N,41,9,901,Light Drizzle,,,40,41,96,30.37,3,35,50,NE,,9,,,,0.0,,Low,35,0,,,,,OVC,,,,,,,,,
KDCA,observation,1483361520,KDCA,Washington/Natl,1483354320,N,41,9,901,Light Drizzle,,,40,41,96,30.37,3,35,20,NNE,,10,,,,0.01,,Low,35,0,,,,,OVC,,,,,,,,,
KDCA,observation,1483364640,KDCA,Washington/Natl,1483357440,N,41,9,901,Light Drizzle,,,40,41,96,30.36,2,35,40,NE,,9,,,,0.0,,Low,35,0,,,,,OVC,,,,,,,,,
KDCA,observation,1483365120,KDCA,Washington/Natl,1483357920,N,41,9,901,Light Drizzle,2,Falling Rapidly,40,41,96,30.36,2,35,40,NE,,9,,,0.08,0.0,,Low,35,0,,,,,OVC,,,,,,,,,
KDCA,observation,1483368720,KDCA,Washington/Natl,1483361520,D,41,9,901,Light Drizzle,,,41,41,100,30.36,2,36,40,NE,,8,,,,0.0,,Low,36,1,,,,,OVC,,,,,,,,,
KDCA,observation,1483369680,KDCA,Washington/Natl,1483362480,D,41,9,901,Light Drizzle,,,41,41,100,30.36,1,36,30,NNE,,8,,,,0.02,,Low,36,1,,,,,OVC,,,,,,,,,
KDCA,observation,1483372320,KDCA,Washington/Natl,1483365120,D,42,11,1201,Light Rain,,,41,42,96,30.36,2,38,40,NE,,7,,,,0.1,,Low,38,1,,,,,OVC,,,,,,,,,
KDCA,observation,1483372980,KDCA,Washington/Natl,1483365780,D,42,12,1200,Rain,,,41,42,96,30.37,1,38,40,NE,,6,,,,0.02,,Low,38,1,,,,,OVC,,,,,,,,,
KDCA,observation,1483375560,KDCA,Washington/Natl,1483368360,D,43,11,1201,Light Rain,,,43,43,100,30.36,2,38,30,NNE,,8,,,,0.07,,Low,38,1,,,,,OVC,,,,,,,,,
KDCA,observation,1483375740,KDCA,Washington/Natl,1483368540,D,43,11,1201,Light Rain,,,43,43,100,30.36,3,39,40,NE,,7,,,,0.07,,Low,39,1,,,,,OVC,,,,,,,,,
KDCA,observation,1483375920,KDCA,Washington/Natl,1483368720,D,43,11,1201,Light Rain,0,Steady,42,43,97,30.36,3,38,30,NNE,,8,,,,0.07,,Low,38,1,,,,,OVC,,,,,,,,,
KDCA,observation,1483378620,KDCA,Washington/Natl,1483371420,D,44,11,1201,Light Rain,,,43,44,96,30.35,2,40,40,NE,,8,,,,0.02,,Low,40,1,,,,,OVC,,,,,,,,,
KDCA,observation,1483379280,KDCA,Washington/Natl,1483372080,D,45,11,1201,Light Rain,,,43,45,93,30.35,2,40,40,NE,,8,,,,0.03,,Low,40,1,,,,,OVC,,,,,,,,,
KDCA,observation,1483379520,KDCA,Washington/Natl,1483372320,D,44,11,1201,Light Rain,,,43,44,96,30.35,2,40,40,NE,,8,,,,0.03,,Low,40,1,,,,,OVC,,,,,,,,,
KDCA,observation,1483380120,KDCA,Washington/Natl,1483372920,D,44,11,1201,Light Rain,,,43,44,96,30.35,2,40,30,NNE,,8,,,,0.0,,Low,40,1,,,,,OVC,,,,,,,,,
KDCA,observation,1483380960,KDCA,Washington/Natl,1483373760,D,44,11,1201,Light Rain,,,43,44,96,30.33,3,40,40,NE,,8,,,,0.01,,Low,40,1,,,,,OVC,,,,,,,,,
KDCA,observation,1483382580,KDCA,Washington/Natl,1483375380,D,45,20,2000,Fog,,,44,45,97,30.32,2,41,30,NNE,,7,,,,0.01,,Low,41,1,,,,,OVC,,,,,,,,,
KDCA,observation,1483383120,KDCA,Washington/Natl,1483375920,D,45,20,2000,Fog,,,44,45,97,30.31,2,40,30,NNE,,9,,,,0.01,,Low,40,1,,,,,OVC,,,,,,,,,
KDCA,observation,1483384860,KDCA,Washington/Natl,1483377660,D,45,9,901,Light Drizzle,,,44,45,97,30.3,1,41,10,N,,8,,,,0.0,,Low,41,1,,,,,OVC,,,,,,,,,
KDCA,observation,1483386720,KDCA,Washington/Natl,1483379520,D,44,11,1201,Light Rain,2,Falling Rapidly,44,44,100,30.28,1,39,20,NNE,,10,,,,0.01,,Low,39,1,,,,,OVC,,,,,,,,,
KDCA,observation,1483390320,KDCA,Washington/Natl,1483383120,D,44,11,1201,Light Rain,,,43,44,96,30.27,1,39,30,NNE,,9,,,,0.02,,Low,39,1,,,,,OVC,,,,,,,,,
KDCA,observation,1483391400,KDCA,Washington/Natl,1483384200,D,44,20,2000,Fog,,,44,44,100,30.26,2,40,20,NNE,,8,,,,0.01,,Low,40,1,,,,,OVC,,,,,,,,,
KDCA,observation,1483392420,KDCA,Washington/Natl,1483385220,D,44,9,901,Light Drizzle,,,43,44,96,30.27,3,39,20,NNE,,10,,,,0.01,,Low,39,1,,,,,OVC,,,,,,,,,
KDCA,observation,1483393500,KDCA,Washington/Natl,1483386300,D,44,11,1201,Light Rain,,,43,44,96,30.27,3,39,40,NE,,9,,,,0.01,,Low,39,1,,,,,OVC,,,,,,,,,
KDCA,observation,1483393920,KDCA,Washington/Natl,1483386720,D,44,11,1201,Light Rain,,,43,44,96,30.26,3,39,30,NNE,,9,,,,0.02,,Low,39,1,,,,,OVC,,,,,,,,,
KDCA,observation,1483396260,KDCA,Washington/Natl,1483389060,D,44,11,1201,Light Rain,,,43,44,96,30.26,9,38,30,NNE,,12,,,,0.0,,Low,38,1,,,,,OVC,,,,,,,,,
KDCA,observation,1483397520,KDCA,Washington/Natl,1483390320,D,44,11,1201,Light Rain,2,Falling,43,44,96,30.26,10,38,30,NNE,,12,,,,0.01,,Low,38,1,,,,,OVC,,,,,,,,,
KDCA,observation,1483397640,KDCA,Washington/Natl,1483390440,D,44,11,1201,Light Rain,,,43,44,96,30.26,10,39,20,NNE,,10,,,,0.0,,Low,39,1,,,,,OVC,,,,,,,,,
KDCA,observation,1483399140,KDCA,Washington/Natl,1483391940,D,44,9,901,Light Drizzle,,,43,44,96,30.26,5,39,20,NNE,,10,,,,0.0,,Low,39,1,,,,,OVC,,,,,,,,,
KDCA,observation,1483399740,KDCA,Washington/Natl,1483392540,D,44,9,901,Light Drizzle,,,43,44,96,30.26,2,39,30,NNE,,9,,,,0.0,,Low,39,1,,,,,OVC,,,,,,,,,
KDCA,observation,1483401120,KDCA,Washington/Natl,1483393920,D,44,9,901,Light Drizzle,,,43,44,96,30.25,2,39,30,NNE,,9,,,,0.0,,Low,39,1,,,,,OVC,,,,,,,,,
KDCA,observation,1483401660,KDCA,Washington/Natl,1483394460,N,44,9,901,Light Drizzle,,,43,44,96,30.25,3,38,40,NE,,12,,,,0.0,,Low,38,0,,,,,OVC,,,,,,,,,
